trajectory_id,dataset_split,product,season,batch_number,disturbance_type,T_min_K,T_max_K,final_monomer_added_kg,max_reaction_heat_kW,min_U_kW_m2_K,max_viscosity,max_valve_pct,min_valve_pct,max_feed_rate_kg_s,mean_abs_T_error_K,p95_abs_T_error_K,within_0p5K_pct,within_1p0K_pct
65,train,A,winter,5,none,277.26,355.80265517480905,45.00071637428106,2.2650983392594566,0.2,578.3222678140066,51.59330738004734,47.092944124624935,0.0033603507101276,0.21066899115892804,0.7085216101799687,87.6357056694813,98.79372738238843
66,train,A,summer,3,none,294.26,355.79304685247763,45.00042686310651,1.9552911186984652,0.2,578.278249668797,51.07961082148697,47.3303399947267,0.0028617004993297,0.08642645251404496,0.32551852273562076,99.63985594237695,100.0
67,train,A,summer,5,feed_temp,294.26,355.81412069543575,45.00000010346089,1.7580541328093715,0.2,578.2605883515197,51.35257261958,46.836430600497536,0.0026089772123409,0.20786367580694934,0.6115559060796585,90.94202898550725,99.7584541062802
68,train,A,winter,2,feed_temp,277.26,355.8045260460366,45.00053357270932,1.955584434084262,0.2239242986789079,578.2826658735233,51.39214768303124,47.79618053259262,0.0028659208062432,0.09067467697012435,0.3314265457849811,99.22248803827752,100.0
69,train,A,summer,5,none,294.26,355.79157878075824,45.002861004845656,2.227733578044028,0.2,578.3789932805623,51.05406233022862,47.39503349651879,0.003258685764676,0.07895187796924673,0.30262664171151527,99.16617033948779,100.0
70,train,A,winter,2,none,277.26,355.81799859500035,45.00002683962479,1.6533240339825692,0.2,578.261694808092,51.43346575755131,47.897347621379794,0.0024155364325356,0.10511683970217739,0.3323033496403409,99.08647990255785,100.0
71,train,A,winter,4,none,277.26,355.77690010735364,45.00109394680586,2.05650610998495,0.2057226250005049,578.3058574989744,51.2176620602815,47.52232093749007,0.0030441253917506,0.22681017462750536,0.7511838610709215,85.50811785929045,98.31629585087191
72,train,A,winter,3,none,277.26,355.83932287367105,45.0000751780873,1.804600786090956,0.2183421909701735,578.263695263866,51.5301102622696,47.38125052433558,0.0026409507604985,0.19790324945153606,0.528198086691824,94.40433212996389,100.0
73,train,A,summer,4,none,294.26,355.81816371355706,45.00000222497341,1.9571083992778,0.2,578.2606761486389,51.512589418848414,46.85465411396724,0.0029295804247103,0.21205510868760188,0.5449319125108445,93.595166163142,99.57703927492447
74,train,A,winter,1,none,277.26,355.81697601719395,45.00004725939549,2.1102157054276263,0.2,578.2625398663855,51.41025341889309,47.32876073265581,0.0030845473069038,0.2934812670723944,0.940858886346561,81.16646415552854,96.11178614823815
75,train,B,winter,2,none,277.26,355.8467216014253,45.00000370699983,1.9973424315474992,0.2,2319.6833538341475,51.419775261980654,47.78543000675453,0.0029154111653869,0.11355928458232406,0.2793633511824507,99.69306322897484,100.0
76,train,A,winter,5,feed_temp,277.26,355.8439971172049,45.00018801363412,2.099722908671554,0.2,578.2683649087246,51.87879848935312,46.439060657972135,0.0030743251578147,0.30076701438971526,0.9915217431453864,78.26876513317191,95.27845036319611
77,train,A,summer,1,none,294.26,355.82347891451275,45.00370256119994,2.1109223115472764,0.2,578.4138263212942,51.85496148526882,45.48061831596746,0.0030802007415937,0.19930961975299083,0.521214152159257,94.20203227734608,100.0
78,train,A,summer,5,feed_temp,294.26,355.77050129249227,44.99999999999997,1.856883322636668,0.2,578.2605840699185,51.49925648172796,46.59574258953384,0.0027274689144787,0.3806280429775054,1.200336449030851,72.72178636089318,91.43029571514786
79,train,A,summer,1,pulse_feed,294.26,355.81617637887456,45.000004762163066,1.8191695817540867,0.2,578.2607811483474,51.18063343363264,47.03474295930598,0.0026608673760238,0.2109902571515229,0.5112066060713799,94.45114595898673,100.0
80,train,A,winter,1,none,277.26,355.81493429491763,45.00000546410481,1.724129117324312,0.2,578.2608101976997,51.42207463126624,47.26560629531984,0.0025557171264672,0.21973224375241626,0.5716403491242573,92.13075060532687,99.93946731234867
81,train,A,winter,3,cooling_water,277.26,355.83501198422715,45.00106874181336,1.988232316578196,0.2,578.3048143515629,51.46480980740637,46.99264033598109,0.0028983417818875,0.18667799115848044,0.5526855166922527,93.83770591824283,100.0
82,train,A,winter,3,none,277.26,355.8127646497179,45.00068264033888,1.7495733645650242,0.2,578.2888351167803,51.71136839525758,47.016521075925056,0.0025524237430528,0.19960247607047296,0.561625768853844,93.05301645338209,100.0
83,train,A,winter,5,cooling_water,277.26,355.7025126075496,45.00032226077504,1.7791095293498191,0.2002564456937027,578.27392069747,51.41894211503086,47.25472349372831,0.0026222269785213,0.29256611505096647,0.9303933200478695,77.30838865419433,96.86179843089921
84,train,B,winter,2,none,277.26,355.8031857859269,44.999999999999964,1.6982233350819949,0.2168343165981211,2319.682614595238,51.26708748191199,47.62671592241841,0.0024742410350479,0.16043080134298934,0.5062327465363694,94.73046638400969,100.0
